[04-Jul-2017 08:48:27 Asia/Shanghai] PHP Warning:  Illegal string offset 'dbversion' in F:\u0mo5.github.io\123\admin\modules\mod_login.php on line 559
[04-Jul-2017 08:49:15 Asia/Shanghai] PHP Deprecated:  Function eregi() is deprecated in F:\u0mo5.github.io\123\admin\modules\mod_famous_nav.php on line 157
[04-Jul-2017 08:49:15 Asia/Shanghai] PHP Deprecated:  Function eregi() is deprecated in F:\u0mo5.github.io\123\admin\modules\mod_famous_nav.php on line 162
[04-Jul-2017 08:49:58 Asia/Shanghai] PHP Deprecated:  Function eregi() is deprecated in F:\u0mo5.github.io\123\admin\modules\mod_famous_nav.php on line 157
[04-Jul-2017 08:49:58 Asia/Shanghai] PHP Deprecated:  Function eregi() is deprecated in F:\u0mo5.github.io\123\admin\modules\mod_famous_nav.php on line 162
[04-Jul-2017 08:50:44 Asia/Shanghai] PHP Deprecated:  Function eregi() is deprecated in F:\u0mo5.github.io\123\admin\modules\mod_famous_nav.php on line 71
[04-Jul-2017 08:50:44 Asia/Shanghai] PHP Deprecated:  Function eregi() is deprecated in F:\u0mo5.github.io\123\admin\modules\mod_famous_nav.php on line 76
[04-Jul-2017 08:51:19 Asia/Shanghai] PHP Deprecated:  Function eregi() is deprecated in F:\u0mo5.github.io\123\admin\modules\mod_famous_nav.php on line 157
[04-Jul-2017 08:51:19 Asia/Shanghai] PHP Deprecated:  Function eregi() is deprecated in F:\u0mo5.github.io\123\admin\modules\mod_famous_nav.php on line 162
[04-Jul-2017 08:51:27 Asia/Shanghai] PHP Deprecated:  Function eregi() is deprecated in F:\u0mo5.github.io\123\admin\modules\mod_famous_nav.php on line 157
[04-Jul-2017 08:51:27 Asia/Shanghai] PHP Deprecated:  Function eregi() is deprecated in F:\u0mo5.github.io\123\admin\modules\mod_famous_nav.php on line 162
[04-Jul-2017 08:59:13 Asia/Shanghai] PHP Warning:  Illegal string offset 'dbversion' in F:\u0mo5.github.io\123\admin\modules\mod_login.php on line 559
[04-Jul-2017 10:56:11 Asia/Shanghai] PHP Strict Standards:  Non-static method mod_login::log_error_login() should not be called statically in F:\u0mo5.github.io\123\admin\modules\mod_login.php on line 253
